SAMPLE_ID,식품명,지역 / 제조사,채취시기,식품상세분류,1회제공량,내용량_단위,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총 식이섬유(g),칼슘(㎎),총 아미노산(g),성분표출처,발행기관
N000696-59-09,혹돔,제주,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000696-45-06,혹돔,여수,6월,어류,100,g,114,75,19.2,2.7,0.4,0,18,-,수('2018),국립수산과학원
N000697-54-08,혹부리고래,울산(고래연),8월,기타,100,g,-,-,27.5,-,-,-,-,24,수('2018),국립수산과학원
N000698-73-03,홍가자미-암컷,포항(독도연),3월,어류,100,g,-,-,17.4,-,-,-,-,15.2,수('2018),국립수산과학원
N000699-33-05,홍감펭,부산,5월,어류,100,g,108,78.2,16.7,3.9,0.2,-,33,-,수('2018),국립수산과학원
N000700-76-03,홍다리얼룩새우,사천,3월,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000701-55-AVG,홍어,인천,평균,어류,100,g,87,77.5,19.6,0.5,0.001,0,305,-,수('2018),국립수산과학원
N000701-16-10,홍어,남해서부-EEZ(222),10월,어류,100,g,-,-,19.2,-,-,-,-,16.1,수('2018),국립수산과학원
N000702-33-03,홍어-간,부산,3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000703-33-10,홍치,부산,10월,어류,100,g,93,78.2,18.9,1.4,0.1,0,20,-,수('2018),국립수산과학원
N000704-83-10,홍해삼-창자,독도,10월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000705-59-09,황놀래기,제주,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000705-33-04,황놀래기,부산,4월,어류,100,g,98,77.8,18.9,1.9,0.1,0,34,-,수('2018),국립수산과학원
N000706-ZZ-AVG,황다랑어,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000706-33-10,황다랑어,부산,10월,어류,100,g,-,-,26,-,-,-,-,25.7,수('2018),국립수산과학원
N000706-33-08,황다랑어,부산,8월,어류,100,g,114,72.8,23.9,1.3,0.2,0,19,-,수('2018),국립수산과학원
N000707-33-10,황다랑어-내장,부산,10월,어류,100,g,-,-,20.6,-,-,-,-,20.5,수('2018),국립수산과학원
N000708-70-06,황다랑어-통조림(기름담금),"통영,알래스카산",6월,수산가공품,100,g,163,70.8,18.8,8.3,1.3,-,34,18,수('2018),국립수산과학원
N000709-89-03,황돔,남해서부-EEZ(244),3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000709-33-05,황돔,부산,5월,어류,100,g,102,76.4,20.2,1.7,0.3,0,51,-,수('2018),국립수산과학원
N000709-23-05,황돔,남해중부-EEZ(113),5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000710-33-06,황매퉁이,부산,6월,어류,100,g,97,77.3,20,1.3,0.1,0,54,-,수('2018),국립수산과학원
N000711-ZZ-AVG,황새치,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000712-ZZ-AVG,황소개구리-다리살,전국(대표),평균,기타,100,g,75,81.9,16.1,0.4,0.7,0,11,-,수('2018),국립수산과학원
N000713-ZZ-AVG,황아귀,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000713-33-05,황아귀,부산,5월,어류,100,g,71,82.2,16.3,0.2,0.1,-,9,-,수('2018),국립수산과학원
N000713-17-10,황아귀,남해서부-EEZ(231),10월,어류,100,g,-,-,16.3,-,-,-,-,13.9,수('2018),국립수산과학원
N000714-33-12,황어,부산,12월,어류,100,g,-,-,19.4,-,-,-,-,19.2,수('2018),국립수산과학원
N000714-33-11,황어,부산,11월,어류,100,g,95,78.5,18.3,1.8,0.2,0,65,-,수('2018),국립수산과학원
N000715-33-06,황점볼락,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000715-33-03,황점볼락,부산,3월,어류,100,g,102,76.1,21.3,1.3,0.001,0,28,-,수('2018),국립수산과학원
N000716-33-06,황줄돔,부산,6월,어류,100,g,97,77.6,19.3,1.6,0.001,0,38,-,수('2018),국립수산과학원
N000717-33-05,흉상어,부산,5월,어류,100,g,112,73.7,23.5,1.4,0.001,0,59,-,수('2018),국립수산과학원
N000718-ZZ-AVG,흑대기,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000719-76-03,흰꼬리볼락,사천,3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000720-ZZ-AVG,흰다리새우,전국(대표),평균,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000720-67-05,흰다리새우,충남,5월,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000720-57-10,흰다리새우,인천(영종),10월,갑각류,100,g,105,75.9,21.2,0.9,1.7,-,49,19.4,수('2018),국립수산과학원
N000721-59-09,흰점복,제주,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000721-33-AVG,흰점복,부산,평균,어류,100,g,72,82.2,15.9,0.5,0.001,0,40,-,수('2018),국립수산과학원
N000722-33-07,히메치,부산,7월,어류,100,g,99,76.7,20.9,1.1,0.001,0,39,-,수('2018),국립수산과학원
N000722-33-06,히메치,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000723-33-03,가시파래-소건품,부산,3월,수산가공품,100,g,136,12.8,20,0.7,42.2,4.3,646,-,수('2018),국립수산과학원
N000724-ZZ-AVG,굴(참굴),전국(대표),평균,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000724-70-12,굴(참굴),"통영,알래스카산",12월,패류,100,g,-,-,6.1,-,-,-,-,4.5,수('2018),국립수산과학원
N000724-70-10,굴(참굴),"통영,알래스카산",10월,패류,100,g,-,-,5.8,-,-,-,-,4.3,수('2018),국립수산과학원
N000724-70-08,굴(참굴),"통영,알래스카산",8월,패류,100,g,-,-,9.9,-,-,-,-,6.3,수('2018),국립수산과학원
N000724-70-06,굴(참굴),"통영,알래스카산",6월,패류,100,g,-,-,8.4,-,-,-,-,5.7,수('2018),국립수산과학원
N000724-70-04,굴(참굴),"통영,알래스카산",4월,패류,100,g,-,-,8.3,-,-,-,-,7.2,수('2018),국립수산과학원
N000724-70-02,굴(참굴),"통영,알래스카산",2월,패류,100,g,-,-,9.4,-,-,-,-,6.1,수('2018),국립수산과학원
