SAMPLE_ID,식품명,지역 / 제조사,채취시기,식품상세분류,1회제공량,내용량_단위,에너지(㎉),수분(g),단백질(g),지방(g),탄수화물(g),총 식이섬유(g),칼슘(㎎),총 아미노산(g),성분표출처,발행기관
N000032-ZZ-AVG,갈치,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000032-55-AVG,갈치,인천,평균,어류,100,g,149,72.7,18.5,7.5,0.1,0,46,-,수('2018),국립수산과학원
N000032-33-12,갈치,부산,12월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000032-33-06,갈치,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000032-33-04,갈치,부산,4월,어류,100,g,-,-,18.2,-,-,-,-,16.8,수('2018),국립수산과학원
N000033-62-06,갈치-속젓갈,진주,6월,수산가공품,100,g,195,46.6,8.4,3.6,32.4,-,152,-,수('2018),국립수산과학원
N000034-ZZ-AVG,갈치-얼간품,전국(대표),평균,수산가공품,100,g,188,57.2,26.3,8.1,0.1,0,104,-,수('2018),국립수산과학원
N000035-70-06,갈치-젓갈,"통영,알래스카산",6월,수산가공품,100,g,176,49.5,8.6,3.2,28.2,-,328,7.9,수('2018),국립수산과학원
N000036-ZZ-AVG,갈파래,전국(대표),평균,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000036-70-11,갈파래,"통영,알래스카산",11월,해조류,100,g,-,-,32.1,-,-,-,-,32,수('2018),국립수산과학원
N000037-45-06,감성돔,여수,6월,어류,100,g,101,76.7,18.8,2.3,0.1,0,24,-,수('2018),국립수산과학원
N000037-33-12,감성돔,부산,12월,어류,100,g,-,-,21.9,-,-,-,-,21.7,수('2018),국립수산과학원
N000037-33-05,감성돔,부산,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000038-33-08,강담돔,부산,8월,어류,100,g,93,78.5,18.9,1.4,0.001,0,35,-,수('2018),국립수산과학원
N000039-70-08,강담돔-양식산,"통영,알래스카산",8월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000040-72-06,강도다리,포항,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000040-33-06,강도다리,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000041-33-06,강도다리-알,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000042-33-10,강준치,부산,10월,어류,100,g,90,78.8,18.7,1.1,0.2,0,38,-,수('2018),국립수산과학원
N000043-61-05,개도박,진도,5월,해조류,100,g,-,-,5.1,-,-,-,-,4.2,수('2018),국립수산과학원
N000044-84-AVG,개량조개,고창,평균,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000044-84-10,개량조개,고창,10월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000044-08-05,개량조개,군산,5월,패류,100,g,62,84,12,0.7,1.1,0,65,-,수('2018),국립수산과학원
N000045-ZZ-AVG,개량조개-소건품,전국(대표),평균,수산가공품,100,g,276,26.3,54.2,2,7,0,464,-,수('2018),국립수산과학원
N000046-33-11,개복치,부산,11월,어류,100,g,-,-,10.5,-,-,-,-,9.2,수('2018),국립수산과학원
N000047-45-06,개볼락,여수,6월,어류,100,g,88,78.7,19.1,0.7,0.1,-,57,-,수('2018),국립수산과학원
N000047-10-07,개볼락,기장,7월,어류,100,g,-,-,21.4,-,-,-,-,20.4,수('2018),국립수산과학원
N000048-ZZ-AVG,개불,전국(대표),평균,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000048-33-06,개불,부산,6월,기타,100,g,-,-,15.6,-,-,-,-,13,수('2018),국립수산과학원
N000048-33-05,개불,부산,5월,기타,100,g,53,85.3,10.5,0.2,1.6,0,29,-,수('2018),국립수산과학원
N000049-45-06,개서대,여수,6월,어류,100,g,85,79,19.2,0.4,0.001,-,34,-,수('2018),국립수산과학원
N000050-ZZ-AVG,개조개,전국(대표),평균,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000050-33-05,개조개,부산,5월,패류,100,g,64,82.6,10.9,0.6,3,-,83,-,수('2018),국립수산과학원
N000050-10-06,개조개,기장,6월,패류,100,g,-,-,15.1,-,-,-,-,14.4,수('2018),국립수산과학원
N000051-ZZ-AVG,갯가재,전국(대표),평균,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000051-33-07,갯가재,부산,7월,갑각류,100,g,-,-,17.2,-,-,-,-,17.1,수('2018),국립수산과학원
N000051-33-04,갯가재,부산,4월,갑각류,100,g,87,79.3,16.1,1.7,0.8,0,149,-,수('2018),국립수산과학원
N000052-68-06,갯개미자리,태안,6월,기타,100,g,-,-,2.6,-,-,-,-,1.2,수('2018),국립수산과학원
N000053-ZZ-AVG,갯장어,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000053-70-AVG,갯장어,"통영,알래스카산",평균,어류,100,g,170,70.5,17.9,9.9,0.4,0,81,-,수('2018),국립수산과학원
N000053-33-06,갯장어,부산,6월,어류,100,g,-,-,18.3,-,-,-,-,16.8,수('2018),국립수산과학원
N000054-68-06,갯질경이,태안,6월,기타,100,g,-,-,1.3,-,-,-,-,1.2,수('2018),국립수산과학원
N000055-33-05,거북등안장멍게,부산,5월,기타,100,g,66,84,7.4,1.5,5,0,38,-,수('2018),국립수산과학원
N000056-33-05,거북손,부산,5월,갑각류,100,g,-,-,17.1,-,-,-,-,17,수('2018),국립수산과학원
N000057-59-04,검복,제주,4월,어류,100,g,-,-,21.5,-,-,-,-,20,수('2018),국립수산과학원
N000057-33-07,검복,부산,7월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000057-01-06,검복,강릉,6월,어류,100,g,94,76.7,21.5,0.3,0.1,0,21,-,수('2018),국립수산과학원
N000058-33-06,게르치,부산,6월,어류,100,g,158,70.5,20.8,7.5,0.001,0,44,-,수('2018),국립수산과학원
N000058-33-04,게르치,부산,4월,어류,100,g,-,-,22.8,-,-,-,-,21.9,수('2018),국립수산과학원
N000058-10-06,게르치,기장,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000059-ZZ-AVG,고등어,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000059-ZZ-09,고등어,전국(대표),9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000059-75-09,고등어,서해,9월,어류,100,g,-,-,20.3,-,-,-,-,16.8,수('2018),국립수산과학원
N000059-33-AVG,고등어,부산,평균,어류,100,g,183,68.1,20.2,10.4,0.001,0,26,-,수('2018),국립수산과학원
N000059-33-11,고등어,부산,11월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000059-33-09,고등어,부산,9월,어류,100,g,246,62.1,18.7,17.8,0.001,0,27,-,수('2018),국립수산과학원
N000059-33-07,고등어,부산,7월,어류,100,g,175,68.8,20.6,9.4,0.001,0,32,-,수('2018),국립수산과학원
N000059-33-05,고등어,부산,5월,어류,100,g,146,70.3,22,5.5,0.3,0,17,-,수('2018),국립수산과학원
N000059-33-03,고등어,부산,3월,어류,100,g,139,72.7,20.3,5.7,0.001,0,21,-,수('2018),국립수산과학원
N000060-ZZ-AVG,고등어-대,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000061-ZZ-AVG,고등어-보통육,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000062-ZZ-AVG,고등어-세,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000063-ZZ-AVG,고등어-소,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000064-70-06,고등어-염건품,"통영,알래스카산",6월,수산가공품,100,g,171,67,21.3,8.3,0.6,-,30,20.4,수('2018),국립수산과학원
N000065-ZZ-AVG,고등어-염장품,전국(대표),평균,수산가공품,100,g,172,54.2,26.9,6.2,0.1,0,39,-,수('2018),국립수산과학원
N000066-ZZ-AVG,고등어-중,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000067-70-06,고등어-통조림(보일드),"통영,알래스카산",6월,수산가공품,100,g,207,65.9,18.3,13.7,0.3,-,94,-,수('2018),국립수산과학원
N000068-70-06,고등어-통조림(조미),"통영,알래스카산",6월,수산가공품,100,g,-,-,14,-,-,-,-,13.3,수('2018),국립수산과학원
N000069-ZZ-AVG,고등어-혈합육,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000070-38-05,고려홍어,서해남부-EEZ(221),5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000070-38-03,고려홍어,서해남부-EEZ(221),3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000071-61-04,고리매,진도,4월,해조류,100,g,-,-,2.9,-,-,-,-,2.3,수('2018),국립수산과학원
N000072-72-05,고무꺽정이,포항,5월,어류,100,g,81,79.9,16.3,0.3,2.2,-,20,15.5,수('2018),국립수산과학원
N000073-ZZ-AVG,곰피,전국(대표),평균,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000073-33-03,곰피,부산,3월,해조류,100,g,-,-,12.5,-,-,-,-,11.2,수('2018),국립수산과학원
N000074-45-09,곱상어,여수,9월,어류,100,g,164,72,16.2,10,0.3,0,6,-,수('2018),국립수산과학원
N000075-66-04,곳체다슬기,춘천,4월,패류,100,g,-,-,12.7,-,-,-,-,9.3,수('2018),국립수산과학원
N000075-65-04,곳체다슬기,청평,4월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000075-31-11,곳체다슬기,문경,11월,패류,100,g,78,81.9,11.6,0.6,4,-,195,-,수('2018),국립수산과학원
N000075-03-11,곳체다슬기,경기,11월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000076-39-10,관절매물고둥,속초,10월,패류,100,g,-,-,16.7,-,-,-,-,16.3,수('2018),국립수산과학원
N000076-07-AVG,관절매물고둥,구룡포,평균,패류,100,g,104,74.2,17.7,1.1,4.5,0,94,-,수('2018),국립수산과학원
N000077-93-10,광동홍어,남해서부-EEZ(239),10월,어류,100,g,103,74,23.5,0.3,0.1,-,140,-,수('2018),국립수산과학원
N000077-36-05,광동홍어,서해남부-EEZ(212),5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000077-19-10,광동홍어,남해서부-EEZ(242),10월,어류,100,g,-,-,23.5,-,-,-,-,20,수('2018),국립수산과학원
N000078-76-03,괴도라치,사천,3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000078-72-06,괴도라치,포항,6월,어류,100,g,74,81.3,17.2,0.1,0.001,0,84,-,수('2018),국립수산과학원
N000079-33-06,구갈돔,부산,6월,어류,100,g,89,77.9,20.4,0.3,0.001,0,52,-,수('2018),국립수산과학원
N000080-ZZ-AVG,구멍갈파래,전국(대표),평균,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000080-61-06,구멍갈파래,진도,6월,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000080-53-12,구멍갈파래,완도,12월,해조류,100,g,-,-,4.1,-,-,-,-,3.9,수('2018),국립수산과학원
N000081-53-12,구멍갈파래-소건품,완도,12월,수산가공품,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000082-08-05,국매리복,군산,5월,어류,100,g,91,77.4,20.7,0.3,0.2,-,8,-,수('2018),국립수산과학원
N000083-33-03,군소,부산,3월,기타,100,g,-,-,7.5,-,-,-,-,7,수('2018),국립수산과학원
N000083-33-02,군소,부산,2월,기타,100,g,36,90.1,5.8,1,0.5,0,109,-,수('2018),국립수산과학원
N000084-33-05,군평선이,부산,5월,어류,100,g,-,-,16.1,-,-,-,-,15.7,수('2018),국립수산과학원
N000084-33-03,군평선이,부산,3월,어류,100,g,103,77.4,18.5,2.6,0.2,0,50,-,수('2018),국립수산과학원
N000085-33-10,궁제기서대,부산,10월,어류,100,g,-,-,19.1,-,-,-,-,18.6,수('2018),국립수산과학원
N000085-33-03,궁제기서대,부산,3월,어류,100,g,91,78.4,18.9,1.2,0.1,0,92,-,수('2018),국립수산과학원
N000086-33-07,그물베도라치,부산,7월,어류,100,g,107,74.8,22,1.2,0.7,0,40,-,수('2018),국립수산과학원
N000087-01-06,기름가자미,강릉,6월,어류,100,g,83,79.4,18.2,0.4,0.7,-,51,-,수('2018),국립수산과학원
N000088-33-05,기름가자미-소건품,부산,5월,수산가공품,100,g,114,72.4,22.6,0.7,3.1,0,36,13.9,수('2018),국립수산과학원
N000089-73-12,기름가자미-수컷,포항(독도연),12월,어류,100,g,-,-,17.4,-,-,-,-,16.4,수('2018),국립수산과학원
N000089-73-11,기름가자미-수컷,포항(독도연),11월,어류,100,g,-,-,17.7,-,-,-,-,17.1,수('2018),국립수산과학원
N000089-73-10,기름가자미-수컷,포항(독도연),10월,어류,100,g,-,-,17.8,-,-,-,-,16,수('2018),국립수산과학원
N000089-73-09,기름가자미-수컷,포항(독도연),9월,어류,100,g,-,-,18.8,-,-,-,-,17.7,수('2018),국립수산과학원
N000089-73-08,기름가자미-수컷,포항(독도연),8월,어류,100,g,-,-,17.1,-,-,-,-,17,수('2018),국립수산과학원
N000089-73-07,기름가자미-수컷,포항(독도연),7월,어류,100,g,-,-,17.3,-,-,-,-,16.7,수('2018),국립수산과학원
N000089-73-06,기름가자미-수컷,포항(독도연),6월,어류,100,g,-,-,16.9,-,-,-,-,16.5,수('2018),국립수산과학원
N000089-73-05,기름가자미-수컷,포항(독도연),5월,어류,100,g,-,-,18.2,-,-,-,-,17.4,수('2018),국립수산과학원
N000089-73-04,기름가자미-수컷,포항(독도연),4월,어류,100,g,-,-,17.6,-,-,-,-,17.5,수('2018),국립수산과학원
N000089-73-03,기름가자미-수컷,포항(독도연),3월,어류,100,g,-,-,18.6,-,-,-,-,16.8,수('2018),국립수산과학원
N000089-73-02,기름가자미-수컷,포항(독도연),2월,어류,100,g,-,-,16.5,-,-,-,-,16.5,수('2018),국립수산과학원
N000089-73-01,기름가자미-수컷,포항(독도연),1월,어류,100,g,-,-,19.4,-,-,-,-,19.4,수('2018),국립수산과학원
N000090-73-01,기름가자미-알,포항(독도연),1월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000091-73-12,기름가자미-암컷,포항(독도연),12월,어류,100,g,-,-,18.7,-,-,-,-,15.9,수('2018),국립수산과학원
N000091-73-11,기름가자미-암컷,포항(독도연),11월,어류,100,g,-,-,18.5,-,-,-,-,14.4,수('2018),국립수산과학원
N000091-73-10,기름가자미-암컷,포항(독도연),10월,어류,100,g,-,-,19,-,-,-,-,16.4,수('2018),국립수산과학원
N000091-73-09,기름가자미-암컷,포항(독도연),9월,어류,100,g,-,-,19.1,-,-,-,-,17.7,수('2018),국립수산과학원
N000091-73-08,기름가자미-암컷,포항(독도연),8월,어류,100,g,-,-,18.8,-,-,-,-,16.1,수('2018),국립수산과학원
N000091-73-07,기름가자미-암컷,포항(독도연),7월,어류,100,g,-,-,17.9,-,-,-,-,17,수('2018),국립수산과학원
N000091-73-06,기름가자미-암컷,포항(독도연),6월,어류,100,g,-,-,19,-,-,-,-,16.5,수('2018),국립수산과학원
N000091-73-05,기름가자미-암컷,포항(독도연),5월,어류,100,g,-,-,18.9,-,-,-,-,18.3,수('2018),국립수산과학원
N000091-73-04,기름가자미-암컷,포항(독도연),4월,어류,100,g,-,-,18.9,-,-,-,-,16.9,수('2018),국립수산과학원
N000091-73-03,기름가자미-암컷,포항(독도연),3월,어류,100,g,-,-,17.4,-,-,-,-,17.4,수('2018),국립수산과학원
N000091-73-02,기름가자미-암컷,포항(독도연),2월,어류,100,g,-,-,17.8,-,-,-,-,16.5,수('2018),국립수산과학원
N000091-73-01,기름가자미-암컷,포항(독도연),1월,어류,100,g,-,-,18.8,-,-,-,-,18.2,수('2018),국립수산과학원
N000092-33-10,기름종개,부산,10월,어류,100,g,107,75.8,17.5,3.3,0.5,0,672,-,수('2018),국립수산과학원
N000093-70-04,긴고둥,"통영,알래스카산",4월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000093-33-07,긴고둥,부산,7월,패류,100,g,118,73.6,17.2,2.7,4.8,0,122,16.9,수('2018),국립수산과학원
N000094-59-09,긴꼬리벵에돔,제주,9월,어류,100,g,97,77.2,20.1,1.3,0.1,-,328,-,수('2018),국립수산과학원
N000095-ZZ-AVG,긴뿔천길새우,전국(대표),평균,갑각류,100,g,92,77.3,20,0.8,0.001,0,71,-,수('2018),국립수산과학원
N000096-ZZ-AVG,김,전국(대표),평균,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000097-70-AVG,까나리,"통영,알래스카산",평균,어류,100,g,114,76.4,16,4.8,0.3,0,338,-,수('2018),국립수산과학원
N000097-55-05,까나리,인천,5월,어류,100,g,-,-,18.7,-,-,-,-,18.2,수('2018),국립수산과학원
N000097-33-03,까나리,부산,3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000098-70-06,까나리-액젓,"통영,알래스카산",6월,수산가공품,100,g,36,68.8,7.8,0.2,0.2,-,37,-,수('2018),국립수산과학원
N000099-76-06,까치복,사천,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000099-33-04,까치복,부산,4월,어류,100,g,-,-,16.5,-,-,-,-,15.2,수('2018),국립수산과학원
N000099-08-06,까치복,군산,6월,어류,100,g,85,78.6,19.3,0.2,0.5,0,10,-,수('2018),국립수산과학원
N000100-45-09,까치상어,여수,9월,어류,100,g,112,73,24.1,0.7,0.9,0,18,-,수('2018),국립수산과학원
N000101-72-11,까칠복,포항,11월,어류,100,g,85,79,19.3,0.3,0.1,0,4,-,수('2018),국립수산과학원
N000101-33-06,까칠복,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000102-82-09,깨다시꽃게,울산,9월,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000102-10-07,깨다시꽃게,기장,7월,갑각류,100,g,-,-,15.1,-,-,-,-,14.6,수('2018),국립수산과학원
N000103-33-10,꺽저기,부산,10월,어류,100,g,92,78.2,19.5,1,0.1,0,18,-,수('2018),국립수산과학원
N000104-33-06,꼬막,부산,6월,패류,100,g,-,-,13.9,-,-,-,-,12.9,수('2018),국립수산과학원
N000104-33-05,꼬막,부산,5월,패류,100,g,63,82.9,12.6,0.3,1.6,-,83,-,수('2018),국립수산과학원
N000105-ZZ-AVG,꼬시래기,전국(대표),평균,해조류,100,g,17,89.1,1.8,0.2,5.9,0.3,630,-,수('2018),국립수산과학원
N000106-ZZ-AVG,꼬치고기,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000106-33-05,꼬치고기,부산,5월,어류,100,g,96,76.5,20.5,0.8,0.7,0,17,-,수('2018),국립수산과학원
N000106-18-10,꼬치고기,남해서부-EEZ(232),10월,어류,100,g,-,-,19,-,-,-,-,18.7,수('2018),국립수산과학원
N000107-88-03,꼼치,서해남부-EEZ(210),3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000107-01-06,꼼치,강릉,6월,어류,100,g,70,82.4,16.4,0.1,0.001,-,11,-,수('2018),국립수산과학원
N000108-33-03,꼽새돔,부산,3월,어류,100,g,102,77.4,19,2.3,0.1,0,37,-,수('2018),국립수산과학원
N000109-33-04,꽁지양태,부산,4월,어류,100,g,78,81,16.5,0.6,0.6,0,14,-,수('2018),국립수산과학원
N000110-ZZ-AVG,꽁치,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000110-33-11,꽁치,부산,11월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000110-33-04,꽁치,부산,4월,어류,100,g,-,-,20.5,-,-,-,-,19.6,수('2018),국립수산과학원
N000110-01-06,꽁치,강릉,6월,어류,100,g,142,70.9,22.7,4.7,0.4,-,42,-,수('2018),국립수산과학원
N000111-72-06,꽁치-동건품,포항,6월,수산가공품,100,g,421,35.5,32.1,29.9,0.9,-,90,30.6,수('2018),국립수산과학원
N000111-33-05,꽁치-동건품,부산,5월,수산가공품,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000112-70-06,꽁치-통조림(보일드),"통영,알래스카산",6월,수산가공품,100,g,-,-,15.5,-,-,-,-,14.8,수('2018),국립수산과학원
N000113-70-06,꽁치-통조림(조미),"통영,알래스카산",6월,수산가공품,100,g,243,57.6,15.5,14.7,10.1,-,38,14.8,수('2018),국립수산과학원
N000114-ZZ-AVG,꽃게,전국(대표),평균,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000114-68-08,꽃게,태안,8월,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000114-55-AVG,꽃게,인천,평균,갑각류,100,g,74,81.4,13.7,0.8,2,0,118,-,수('2018),국립수산과학원
N000114-33-03,꽃게,부산,3월,갑각류,100,g,-,-,15.9,-,-,-,-,15.9,수('2018),국립수산과학원
N000115-ZZ-AVG,꽃게-내장,전국(대표),평균,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000115-56-05,꽃게-내장,인천(서해),5월,갑각류,100,g,-,-,10.6,-,-,-,-,9.4,수('2018),국립수산과학원
N000116-56-05,꽃게-알,인천(서해),5월,갑각류,100,g,-,-,25.4,-,-,-,-,23.7,수('2018),국립수산과학원
N000117-33-04,꽃새우,부산,4월,갑각류,100,g,-,-,19,-,-,-,-,17.7,수('2018),국립수산과학원
N000118-ZZ-AVG,꽃새우-자건품,전국(대표),평균,수산가공품,100,g,307,18,55.5,5.9,4.1,0,4068,55,수('2018),국립수산과학원
N000119-68-06,나문재,태안,6월,기타,100,g,-,-,2.5,-,-,-,-,1.1,수('2018),국립수산과학원
N000120-33-02,나비가오리,부산,2월,어류,100,g,80,78.7,17.3,0.7,0.001,0,882,-,수('2018),국립수산과학원
N000121-33-04,나팔고둥,부산,4월,패류,100,g,111,73.8,15.9,3,3.9,0,95,-,수('2018),국립수산과학원
N000122-ZZ-AVG,낙지,전국(대표),평균,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000122-45-06,낙지,여수,6월,두족류,100,g,75,80.7,16.3,0.5,0.4,-,20,-,수('2018),국립수산과학원
N000122-45-04,낙지,여수,4월,두족류,100,g,-,-,13,-,-,-,-,9,수('2018),국립수산과학원
N000122-33-03,낙지,부산,3월,두족류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000123-56-05,낙지-내장,인천(서해),5월,두족류,100,g,-,-,16.2,-,-,-,-,13.1,수('2018),국립수산과학원
N000124-56-05,낙지-알,인천(서해),5월,두족류,100,g,-,-,25.2,-,-,-,-,23,수('2018),국립수산과학원
N000125-70-06,날개다랑어-통조림(기름담금),"통영,알래스카산",6월,수산가공품,100,g,206,66.8,17.6,13.5,1.2,-,30,16.8,수('2018),국립수산과학원
N000126-33-05,날치,부산,5월,어류,100,g,99,75.8,22.2,0.5,0.1,-,20,-,수('2018),국립수산과학원
N000127-70-05,남방대구,"통영,알래스카산",5월,어류,100,g,-,-,10.6,-,-,-,-,10.2,수('2018),국립수산과학원
N000128-76-03,남방도화새우,사천,3월,갑각류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000129-54-08,남방큰돌고래,울산(고래연),8월,기타,100,g,-,-,27.7,-,-,-,-,24.3,수('2018),국립수산과학원
N000130-54-08,남방큰돌고래-보통육,울산(고래연),8월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000131-54-08,남방큰돌고래-지방,울산(고래연),8월,기타,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000132-ZZ-AVG,납작파래,전국(대표),평균,해조류,100,g,17,87.6,3.3,0.7,3,0.5,93,-,수('2018),국립수산과학원
N000132-61-06,납작파래,진도,6월,해조류,100,g,-,-,38.4,-,-,-,-,36.8,수('2018),국립수산과학원
N000132-33-02,납작파래,부산,2월,해조류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000133-33-10,납지리,부산,10월,어류,100,g,86,80.1,17.5,1.2,0.1,0,51,-,수('2018),국립수산과학원
N000134-33-05,넓은입물레고둥,부산,5월,패류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000135-ZZ-AVG,넙치,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000135-45-06,넙치,여수,6월,어류,100,g,109,75.2,20.9,2.1,0.3,0,21,-,수('2018),국립수산과학원
N000135-10-06,넙치,기장,6월,어류,100,g,-,-,20.2,-,-,-,-,19,수('2018),국립수산과학원
N000136-ZZ-AVG,넙치-무안부,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000136-59-09,넙치-무안부,제주,9월,어류,100,g,-,-,19.9,-,-,-,-,18,수('2018),국립수산과학원
N000136-02-06,넙치-무안부,거제,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000137-02-02,넙치-생식소,거제,2월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000138-ZZ-AVG,넙치-양식산,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000139-59-AVG,넙치-유안부,제주,평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000139-59-09,넙치-유안부,제주,9월,어류,100,g,-,-,20.4,-,-,-,-,18.6,수('2018),국립수산과학원
N000139-02-06,넙치-유안부,거제,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000140-ZZ-AVG,넙치-지느러미,전국(대표),평균,어류,100,g,-,-,-,0,-,-,-,-,수('2018),국립수산과학원
N000141-33-05,네동가리,부산,5월,어류,100,g,82,79.2,19.2,0.1,0.1,-,40,-,수('2018),국립수산과학원
N000142-ZZ-AVG,노랑가오리,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000142-76-03,노랑가오리,사천,3월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000142-33-03,노랑가오리,부산,3월,어류,100,g,97,75.8,21.6,0.6,0.001,0,227,20.1,수('2018),국립수산과학원
N000143-33-05,노랑가오리-간,부산,5월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000144-33-06,노랑가자미-양식산,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000145-33-06,노랑가자미-자연산,부산,6월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000146-59-09,노랑각시서대,제주,9월,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000147-33-07,노랑벤자리,부산,7월,어류,100,g,-,-,17.6,-,-,-,-,15.7,수('2018),국립수산과학원
N000147-33-06,노랑벤자리,부산,6월,어류,100,g,94,79,17.3,2.1,0.2,-,27,-,수('2018),국립수산과학원
N000148-ZZ-AVG,노래미,전국(대표),평균,어류,100,g,-,-,-,-,-,-,-,-,수('2018),국립수산과학원
N000148-70-05,노래미,"통영,알래스카산",5월,어류,100,g,89,78.7,17.5,1.3,0.8,0,42,-,수('2018),국립수산과학원
